07:33:00 using native Rust &sameClass propagator
07:33:00 Grounding...
07:33:00 Grounding done (0.03s)
07:33:00 Solving...
07:33:00 Model found (0.04s): [-28, -1230]
07:33:00 Model found (0.05s, +0.00s): [-28, -1240]
07:33:00 Model found (0.05s, +0.00s): [-28, -1250]
07:33:00 Model found (0.05s, +0.00s): [-28, -1260]
07:33:00 Model found (0.05s, +0.00s): [-28, -1270]
07:33:00 Model found (0.05s, +0.00s): [-28, -1280]
07:33:00 Model found (0.05s, +0.00s): [-28, -1290]
07:33:00 Model found (0.05s, +0.00s): [-28, -1300]
07:33:00 Model found (0.06s, +0.00s): [-28, -1310]
07:33:00 Model found (0.06s, +0.00s): [-28, -1320]
07:33:00 Model found (0.06s, +0.00s): [-28, -1330]
07:33:00 Model found (0.06s, +0.00s): [-28, -1340]
07:33:00 Model found (0.06s, +0.00s): [-28, -1350]
07:33:00 Model found (0.06s, +0.00s): [-28, -1360]
07:33:00 Model found (0.06s, +0.00s): [-28, -1370]
07:33:00 Model found (0.06s, +0.00s): [-28, -1380]
07:33:00 Model found (0.07s, +0.00s): [-28, -1390]
07:33:00 Model found (0.07s, +0.00s): [-28, -1400]
07:33:00 Model found (0.07s, +0.00s): [-28, -1410]
07:33:00 Model found (0.07s, +0.00s): [-28, -1420]
07:33:00 Model found (0.07s, +0.00s): [-28, -1430]
07:33:00 Model found (0.07s, +0.00s): [-28, -1440]
07:33:00 Model found (0.07s, +0.00s): [-28, -1450]
07:33:00 Model found (0.07s, +0.00s): [-28, -1460]
07:33:00 Model found (0.07s, +0.00s): [-28, -1470]
07:33:00 Model found (0.07s, +0.00s): [-28, -1480]
07:33:00 Model found (0.07s, +0.00s): [-28, -1490]
07:33:00 Model found (0.07s, +0.00s): [-28, -1500]
07:33:00 Model found (0.08s, +0.00s): [-28, -1510]
07:33:00 Model found (0.08s, +0.00s): [-28, -1520]
07:33:00 Model found (0.08s, +0.00s): [-28, -1530]
07:33:00 Model found (0.08s, +0.00s): [-28, -1540]
07:33:00 Model found (0.08s, +0.00s): [-28, -1550]
07:33:00 Model found (0.08s, +0.00s): [-28, -1560]
07:33:00 Model found (0.08s, +0.00s): [-28, -1570]
07:33:00 Model found (0.08s, +0.00s): [-28, -1580]
07:33:00 Model found (0.08s, +0.00s): [-28, -1590]
07:33:00 Model found (0.08s, +0.00s): [-28, -1600]
07:33:00 Model found (0.08s, +0.00s): [-28, -1610]
07:33:00 Model found (0.08s, +0.00s): [-28, -1620]
07:33:00 Model found (0.09s, +0.00s): [-28, -1630]
07:33:00 Model found (0.09s, +0.00s): [-28, -1640]
07:33:00 Model found (0.09s, +0.00s): [-28, -1650]
07:33:00 Model found (0.09s, +0.00s): [-28, -1660]
07:33:00 Model found (0.09s, +0.00s): [-28, -1670]
07:33:00 Model found (0.09s, +0.00s): [-28, -1680]
07:33:00 Model found (0.09s, +0.00s): [-28, -1690]
07:33:00 Model found (0.09s, +0.00s): [-28, -1700]
07:33:00 Model found (0.09s, +0.00s): [-28, -1710]
07:33:00 Model found (0.09s, +0.00s): [-28, -1720]
07:33:00 Model found (0.09s, +0.00s): [-28, -1730]
07:33:00 Model found (0.09s, +0.00s): [-28, -1740]
07:33:00 Model found (0.10s, +0.00s): [-28, -1750]
07:33:00 Model found (0.10s, +0.00s): [-28, -1760]
07:33:00 Model found (0.10s, +0.00s): [-28, -1770]
07:33:00 Model found (0.10s, +0.00s): [-28, -1780]
07:33:00 Model found (0.10s, +0.00s): [-28, -1790]
07:33:00 Model found (0.10s, +0.00s): [-28, -1800]
07:33:00 Model found (0.10s, +0.00s): [-28, -1810]
07:33:00 Model found (0.10s, +0.00s): [-28, -1820]
07:33:00 Model found (0.10s, +0.00s): [-28, -1830]
07:33:00 Model found (0.11s, +0.00s): [-28, -1840]
07:33:00 Model found (0.11s, +0.00s): [-28, -1850]
07:33:00 Model found (0.11s, +0.00s): [-28, -1860]
07:33:00 Model found (0.11s, +0.00s): [-28, -1870]
07:33:00 Model found (0.11s, +0.00s): [-28, -1880]
07:33:00 Model found (0.11s, +0.00s): [-28, -1890]
07:33:00 Model found (0.11s, +0.00s): [-28, -1900]
07:33:00 Model found (0.11s, +0.00s): [-28, -1910]
07:33:00 Model found (0.11s, +0.00s): [-28, -1920]
07:33:00 Model found (0.11s, +0.00s): [-28, -1930]
07:33:00 Model found (0.11s, +0.00s): [-28, -1940]
07:33:00 Model found (0.12s, +0.00s): [-28, -1950]
07:33:00 Model found (0.12s, +0.00s): [-28, -1960]
07:33:00 Model found (0.12s, +0.00s): [-28, -1970]
07:33:00 Model found (0.12s, +0.00s): [-28, -1980]
07:33:00 Model found (0.12s, +0.00s): [-28, -1990]
07:33:00 Model found (0.12s, +0.00s): [-28, -2000]
07:33:00 Model found (0.12s, +0.00s): [-28, -2010]
07:33:00 Model found (0.12s, +0.00s): [-28, -2020]
07:33:00 Model found (0.12s, +0.00s): [-28, -2030]
07:33:00 Model found (0.12s, +0.00s): [-28, -2040]
07:33:00 Model found (0.12s, +0.00s): [-28, -2050]
07:33:00 Model found (0.12s, +0.00s): [-28, -2060]
07:33:00 Model found (0.13s, +0.00s): [-28, -2070]
07:33:00 Model found (0.13s, +0.00s): [-28, -2080]
07:33:00 Model found (0.13s, +0.00s): [-28, -2090]
07:33:00 Model found (0.13s, +0.00s): [-28, -2100]
07:33:00 Model found (0.13s, +0.00s): [-28, -2110]
07:33:00 Model found (0.13s, +0.00s): [-28, -2120]
07:33:00 Model found (0.13s, +0.00s): [-28, -2130]
07:33:00 Model found (0.13s, +0.00s): [-28, -2140]
07:33:00 Model found (0.13s, +0.00s): [-28, -2150]
07:33:00 Model found (0.13s, +0.00s): [-28, -2160]
07:33:00 Model found (0.13s, +0.00s): [-28, -2170]
07:33:00 Model found (0.13s, +0.00s): [-28, -2180]
07:33:00 Model found (0.14s, +0.00s): [-28, -2190]
07:33:00 Model found (0.14s, +0.00s): [-28, -2200]
07:33:00 Model found (0.14s, +0.00s): [-28, -2210]
07:33:00 Model found (0.14s, +0.00s): [-28, -2220]
07:33:00 Model found (0.14s, +0.00s): [-28, -2230]
07:33:00 Model found (0.14s, +0.00s): [-28, -2240]
07:33:00 Model found (0.14s, +0.00s): [-28, -2250]
07:33:00 Model found (0.14s, +0.00s): [-28, -2260]
07:33:00 Model found (0.14s, +0.00s): [-28, -2270]
07:33:00 Model found (0.14s, +0.00s): [-28, -2280]
07:33:00 Model found (0.14s, +0.00s): [-28, -2290]
07:33:00 Model found (0.14s, +0.00s): [-28, -2300]
07:33:00 Model found (0.15s, +0.00s): [-28, -2308]
07:33:00 Model found (0.15s, +0.00s): [-28, -2318]
07:33:00 Model found (0.15s, +0.00s): [-28, -2328]
07:33:00 Model found (0.15s, +0.00s): [-28, -2336]
07:33:00 Model found (0.15s, +0.00s): [-28, -2342]
07:33:00 Model found (0.15s, +0.00s): [-28, -2352]
07:33:00 Model found (0.15s, +0.00s): [-28, -2360]
07:33:00 Model found (0.15s, +0.00s): [-28, -2361]
07:33:00 Model found (0.15s, +0.00s): [-28, -2370]
07:33:00 Model found (0.15s, +0.00s): [-28, -2378]
07:33:00 Model found (0.15s, +0.00s): [-28, -2386]
07:33:00 Model found (0.16s, +0.00s): [-28, -2394]
07:33:00 Model found (0.16s, +0.00s): [-28, -2402]
07:33:00 Model found (0.16s, +0.00s): [-28, -2407]
07:33:00 Model found (0.16s, +0.00s): [-28, -2415]
07:33:00 Model found (0.16s, +0.00s): [-28, -2416]
07:33:00 Model found (0.16s, +0.00s): [-28, -2424]
07:33:00 Model found (0.16s, +0.00s): [-28, -2432]
07:33:00 Model found (0.16s, +0.00s): [-28, -2433]
07:33:00 Model found (0.17s, +0.00s): [-28, -2441]
07:33:00 Model found (0.17s, +0.00s): [-28, -2449]
07:33:00 Model found (0.17s, +0.00s): [-32, -1812]
07:33:00 Model found (0.17s, +0.00s): [-32, -1822]
07:33:00 Model found (0.17s, +0.00s): [-32, -1832]
07:33:00 Model found (0.17s, +0.00s): [-32, -1842]
07:33:00 Model found (0.18s, +0.00s): [-32, -1852]
07:33:00 Model found (0.18s, +0.00s): [-32, -1862]
07:33:00 Model found (0.18s, +0.00s): [-32, -1872]
07:33:00 Model found (0.18s, +0.00s): [-32, -1882]
07:33:00 Model found (0.18s, +0.00s): [-32, -1892]
07:33:00 Model found (0.18s, +0.00s): [-32, -1902]
07:33:00 Model found (0.18s, +0.00s): [-32, -1912]
07:33:00 Model found (0.18s, +0.00s): [-32, -1922]
07:33:00 Model found (0.19s, +0.00s): [-32, -1932]
07:33:00 Model found (0.19s, +0.00s): [-32, -1942]
07:33:00 Model found (0.19s, +0.00s): [-32, -1952]
07:33:00 Model found (0.19s, +0.00s): [-32, -1962]
07:33:00 Model found (0.19s, +0.00s): [-32, -1972]
07:33:00 Model found (0.19s, +0.00s): [-32, -1982]
07:33:00 Model found (0.19s, +0.00s): [-32, -1992]
07:33:00 Model found (0.19s, +0.00s): [-32, -2002]
07:33:00 Model found (0.20s, +0.00s): [-32, -2012]
07:33:00 Model found (0.20s, +0.00s): [-32, -2022]
07:33:00 Model found (0.20s, +0.00s): [-32, -2032]
07:33:00 Model found (0.20s, +0.00s): [-32, -2042]
