Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:06:30 Model found (44.43s, +0.06s): [-380, -1223]
17:06:30 Model found (44.53s, +0.10s): [-380, -1224]
17:06:30 Model found (44.61s, +0.09s): [-380, -1225]
17:06:30 Model found (44.71s, +0.10s): [-380, -1226]
17:06:30 Model found (44.81s, +0.10s): [-380, -1227]
17:06:30 Model found (44.89s, +0.08s): [-380, -1228]
17:06:30 Model found (44.97s, +0.08s): [-380, -1229]
17:06:30 Model found (45.04s, +0.08s): [-380, -1230]
17:06:30 Model found (45.12s, +0.07s): [-380, -1231]
17:06:30 Model found (45.19s, +0.07s): [-380, -1232]
17:06:30 Model found (45.26s, +0.07s): [-380, -1233]
17:06:31 Model found (45.32s, +0.06s): [-380, -1234]
17:06:31 Model found (45.38s, +0.06s): [-380, -1235]
17:06:31 Model found (45.45s, +0.06s): [-380, -1236]
17:06:31 Model found (45.51s, +0.06s): [-380, -1237]
17:06:31 Model found (45.63s, +0.12s): [-380, -1238]
17:06:31 Model found (45.95s, +0.32s): [-380, -1239]
17:06:31 Model found (46.04s, +0.09s): [-380, -1240]
17:06:31 Model found (46.12s, +0.08s): [-380, -1241]
17:06:31 Model found (46.21s, +0.09s): [-380, -1242]
17:06:31 Model found (46.29s, +0.08s): [-380, -1243]
17:06:32 Model found (46.36s, +0.07s): [-380, -1244]
17:06:32 Model found (46.43s, +0.07s): [-380, -1245]
17:06:32 Model found (46.50s, +0.07s): [-380, -1246]
17:06:32 Model found (46.64s, +0.14s): [-380, -1247]
17:06:32 Model found (46.84s, +0.21s): [-380, -1248]
17:06:32 Model found (46.90s, +0.06s): [-380, -1249]
17:06:32 Model found (46.96s, +0.06s): [-380, -1250]
17:06:32 Model found (47.03s, +0.06s): [-380, -1251]
17:06:32 Model found (47.12s, +0.10s): [-380, -1252]
17:06:32 Model found (47.19s, +0.06s): [-380, -1253]
17:06:32 Model found (47.25s, +0.06s): [-380, -1254]
17:06:33 Model found (47.33s, +0.08s): [-380, -1255]
17:06:33 Model found (47.39s, +0.06s): [-380, -1256]
17:06:33 Model found (47.45s, +0.06s): [-380, -1257]
17:06:33 Model found (47.52s, +0.07s): [-380, -1258]
17:06:33 Model found (47.59s, +0.07s): [-380, -1259]
17:06:33 Model found (47.65s, +0.06s): [-380, -1260]
17:06:33 Model found (47.77s, +0.13s): [-380, -1261]
17:06:33 Model found (47.86s, +0.09s): [-380, -1262]
17:06:33 Model found (47.93s, +0.07s): [-380, -1263]
17:06:33 Model found (48.00s, +0.07s): [-380, -1264]
17:06:33 Model found (48.11s, +0.11s): [-380, -1265]
17:06:34 Model found (48.90s, +0.79s): [-380, -1266]
17:06:34 Model found (48.97s, +0.07s): [-380, -1267]
